index,RIC,ADV_USD,Days_Used,Latest_Date
489,SJP.L,40328829.05279707,75,2026-02-20
490,SKAb.ST,22285762.83794299,75,2026-02-20
491,SKFb.ST,35893374.93202428,75,2026-02-20
492,SLHN.S,67685522.30352508,75,2026-02-20
493,SMIN.L,40017280.13707353,75,2026-02-20
494,SN.L,40527370.58811077,75,2026-02-20
495,SOBIV.ST,16909710.146284662,75,2026-02-20
496,SOF.BR,6107319.882477329,75,2026-02-20
497,SOGN.PA,166923899.05378178,75,2026-02-20
498,SOON.S,44733766.96615804,75,2026-02-20
499,SOPR.PA,7001636.869857175,75,2026-02-20
500,SPIE.PA,17601191.500773925,75,2026-02-20
501,SPL1.WA,15718462.187095817,75,2026-02-20
502,SPMI.MI,121810821.40896551,73,2026-02-20
503,SPSN.S,21198583.524984844,75,2026-02-20
504,SPX.L,17666338.550038155,75,2026-02-20
505,SQN.S,27234583.613649305,75,2026-02-20
506,SRENH.S,139153365.1848941,75,2026-02-20
507,SRG.MI,40371194.47993456,73,2026-02-20
508,SRP.L,10114873.957299976,75,2026-02-20
509,SSABb.ST,28843175.36779269,75,2026-02-20
510,SSE.L,116300090.49573077,75,2026-02-20
511,STAN.L,107840226.45189553,75,2026-02-20
512,STB.OL,11613164.43374935,75,2026-02-20
513,STDM.PA,16822834.34123122,75,2026-02-20
514,STERV.HE,20316094.37605369,75,2026-02-20
515,STLAM.MI,267581268.75613883,73,2026-02-20
516,STMMI.MI,133718856.36443144,73,2026-02-20
517,STMN.S,50489336.7741231,75,2026-02-20
518,SUBC.OL,7227864.111217206,75,2026-02-20
519,SUN.S,8774262.900083797,75,2026-02-20
520,SUNN.S,20020222.958712406,75,2026-02-20
521,SVT.L,26605927.998776857,75,2026-02-20
522,SWECb.ST,5466006.225094753,75,2026-02-20
523,SWEDa.ST,86752532.16746204,75,2026-02-20
524,SY1G.DE,33905417.83923651,75,2026-02-20
525,SYENS.BR,9690713.808860613,75,2026-02-20
526,TBCG.L,7534406.65369933,75,2026-02-20
