Currency,Daily Total Return,Price Close,TRBC Economic Sector Name,Volume
USD,-1.807664497,162.96,,1230
USD,-2.897850761,20.105,,110812
USD,-1.76730486,160.08,,1296
USD,1.914946531,20.49,,87006
USD,0.0,160.08,,2011
USD,-5.685700342,19.325,,350324
USD,0.899550225,161.52,,1121
USD,-0.258732212,19.275,,135972
USD,-2.303120357,157.8,,697
USD,1.193255512,19.505,,270176
USD,0.532319392,158.64,,1759
USD,2.358369649,19.965,,129530
USD,-0.453857791,157.92,,952
USD,2.379163536,20.44,,138474
USD,0.987841945,159.48,,1608
USD,-0.807240705,20.275,,156442
USD,-0.075244545,159.36,,1622
USD,-4.340320592,19.395,,182358
USD,-1.731927711,156.6,,425
USD,0.309358082,19.455,,198284
USD,1.609195402,159.12,,1658
USD,-3.341043434,18.805,,201008
USD,-1.055806938,157.44,,3748
USD,-0.930603563,18.63,,149844
USD,2.210365854,160.92,,2239
USD,0.187869028,18.665,,153050
USD,-0.149142431,160.68,,1220
USD,-3.616394321,17.99,,224490
USD,-2.389843167,156.84,,1459
USD,3.668704836,18.65,,394340
USD,-4.437643458,149.88,,4914
USD,1.769436997,18.98,,200158
USD,7.045636509,160.44,,1490
USD,1.712328767,19.305,,102622
USD,0.373971578,161.04,,347
USD,0.647500648,19.43,,143892
USD,-1.639344262,158.4,,527
USD,-3.962943901,18.66,,108350
USD,0.151515152,158.64,,595
USD,-1.66130761,18.35,,196796
USD,-1.059001513,156.96,,571
USD,-1.171662125,18.135,,223334
USD,-1.987767584,153.84,,522
USD,-0.661703888,18.015,,130606
USD,-6.00624025,144.6,,1043
USD,-3.386067166,17.405,,175398
USD,-8.547717842,132.24,,2466
USD,0.287273772,17.455,,118408
USD,1.633393829,134.4,,1097
USD,-0.54425666,17.36,,107824
USD,-1.428571429,132.48,,608
USD,0.51843318,17.45,,114984
USD,1.630434783,134.64,,578
USD,-1.031518625,17.27,,252860
USD,2.673796791,138.24,,671
USD,1.100173712,17.46,,138030
USD,9.982638889,152.04,,623
USD,-1.66093929,17.17,,152932
USD,-10.260457774,136.44,,1714
USD,1.106581246,17.36,,126210
USD,3.693931398,141.48,,989
USD,-1.296082949,17.135,,120066
USD,-6.106870229,132.84,,1436
USD,0.379340531,17.2,,144162
USD,-1.08401084,131.4,,493
USD,1.191860465,17.405,,179088
USD,0.913242009,132.6,,1526
USD,0.545820167,17.5,,127246
USD,2.171945701,135.48,,655
USD,0.285714286,17.55,,189680
USD,-0.088573959,135.36,,1216
USD,0.398860399,17.62,,183640
USD,-1.329787234,133.56,,194
USD,-0.652667423,17.505,,196912
USD,-1.527403414,131.52,,360
USD,0.771208226,17.64,,147770
USD,0.821167883,132.6,,433
USD,3.458049887,18.25,,241116
USD,-0.814479638,131.52,,431
USD,2.191780822,18.65,,331994
USD,5.200729927,138.36,,690
USD,-7.184986595,17.31,,631596
USD,-1.56114484,136.2,,339
USD,-3.697284806,16.67,,380338
USD,1.497797357,138.24,,473
USD,0.149970006,16.695,,315192
USD,5.989583333,146.52,,819
USD,0.479185385,16.775,,440408
USD,1.31040131,148.44,,595
USD,0.41728763,16.845,,116176
USD,-3.071948262,143.88,,933
USD,-0.17809439,16.815,,221254
USD,0.0,143.88,,361
USD,1.873327386,17.13,,134868
USD,0.166805671,144.12,,333
USD,2.101576182,17.49,,116284
USD,2.248126561,147.36,,566
USD,2.487135506,17.925,,179112
USD,0.0,147.36,,200
USD,-0.223152022,17.885,,208352
USD,2.442996743,150.96,,718
USD,-0.475258597,17.8,,118722
USD,-2.305246423,147.48,,485
USD,-0.983146067,17.625,,84106
USD,3.986981286,153.36,,810
USD,-0.085106383,17.61,,99006
USD,1.251956182,155.28,,710
USD,0.113571834,17.63,,83546
USD,0.463678516,156.0,,366
USD,-1.247872944,17.41,,101484
USD,-0.846153846,154.68,,608
USD,-0.287191269,17.36,,77228
USD,-0.155159038,154.44,,471
USD,-0.633640553,17.225,,157878
USD,-0.621600622,153.48,,1029
USD,-0.812772134,17.085,,97604
USD,-1.016419077,151.92,,619
USD,1.375475563,17.32,,138460
USD,-0.394944708,151.32,,1094
USD,-0.259815242,17.275,,213372
USD,-2.299762094,147.84,,1904
USD,-0.723589001,17.15,,148326
USD,-0.405844156,146.64,,2264
