Date,RIC,Currency,Daily Total Return,Price Close,TRBC Economic Sector Name,Volume
2016-02-22,VHI.N,USD,4.807692308,13.08,,833
2016-02-23,POWI.OQ,USD,-1.454064772,22.365,,53910
2016-02-23,VHI.N,USD,-8.256880734,12.0,,452
2016-02-24,POWI.OQ,USD,-0.693047172,22.21,,101814
2016-02-24,VHI.N,USD,18.0,14.16,,2621
2016-02-25,POWI.OQ,USD,2.296262945,22.655,,68932
2016-02-25,VHI.N,USD,-0.847457627,14.04,,497
2016-02-26,POWI.OQ,USD,0.97108806,22.875,,68456
2016-02-26,VHI.N,USD,3.418803419,14.52,,690
2016-02-29,POWI.OQ,USD,0.174863388,22.915,,147000
2016-02-29,VHI.N,USD,7.438016529,15.6,,2224
2016-03-01,POWI.OQ,USD,3.272965307,23.665,,101526
2016-03-01,VHI.N,USD,10.0,17.16,,3054
2016-03-02,POWI.OQ,USD,0.929642933,23.885,,101348
2016-03-02,VHI.N,USD,4.195804196,17.88,,924
2016-03-03,POWI.OQ,USD,1.276952062,24.19,,109330
2016-03-03,VHI.N,USD,5.369127517,18.6,,1538
2016-03-04,POWI.OQ,USD,1.012815213,24.435,,102824
2016-03-04,VHI.N,USD,2.580645161,19.08,,2692
2016-03-07,POWI.OQ,USD,-0.87988541,24.22,,98328
2016-03-07,VHI.N,USD,7.547169811,20.52,,1787
2016-03-08,POWI.OQ,USD,-0.92898431,23.995,,149952
2016-03-08,VHI.N,USD,-9.941520468,18.48,,1046
2016-03-09,POWI.OQ,USD,-0.979370702,23.76,,57816
2016-03-09,VHI.N,USD,0.649350649,18.6,,467
2016-03-10,POWI.OQ,USD,-1.094276094,23.5,,61912
2016-03-10,VHI.N,USD,-5.806451613,17.52,,358
2016-03-11,POWI.OQ,USD,3.042553191,24.215,,71236
2016-03-11,VHI.N,USD,1.369863014,17.76,,681
2016-03-14,POWI.OQ,USD,-0.371670452,24.125,,49960
2016-03-14,VHI.N,USD,-14.189189189,15.24,,538
2016-03-15,POWI.OQ,USD,0.103626943,24.15,,43340
2016-03-15,VHI.N,USD,3.937007874,15.84,,343
2016-03-16,POWI.OQ,USD,1.573498965,24.53,,101826
2016-03-16,VHI.N,USD,-0.757575758,15.72,,683
2016-03-17,POWI.OQ,USD,0.550346514,24.665,,138786
2016-03-17,VHI.N,USD,8.396946565,17.04,,809
2016-03-18,POWI.OQ,USD,0.668964119,24.83,,190402
2016-03-18,VHI.N,USD,-4.929577465,16.2,,4547
2016-03-21,POWI.OQ,USD,-0.765203383,24.64,,56348
2016-03-21,VHI.N,USD,-3.703703704,15.6,,454
2016-03-22,POWI.OQ,USD,-0.466720779,24.525,,50204
2016-03-22,VHI.N,USD,-3.846153846,15.0,,529
2016-03-23,POWI.OQ,USD,-2.038735984,24.025,,75740
2016-03-23,VHI.N,USD,-4.0,14.4,,1249
2016-03-24,POWI.OQ,USD,0.707596254,24.195,,52158
2016-03-24,VHI.N,USD,3.333333333,14.88,,1100
2016-03-28,POWI.OQ,USD,-0.743955363,24.015,,48008
2016-03-28,VHI.N,USD,-4.032258065,14.28,,666
2016-03-29,POWI.OQ,USD,3.331251301,24.815,,155004
2016-03-29,VHI.N,USD,-2.521008403,13.92,,1883
2016-03-30,POWI.OQ,USD,0.24178924,24.875,,68212
2016-03-30,VHI.N,USD,0.862068966,14.04,,1186
2016-03-31,POWI.OQ,USD,-0.180904523,24.83,,108294
2016-03-31,VHI.N,USD,0.854700855,14.16,,676
2016-04-01,POWI.OQ,USD,0.624244865,24.985,,84312
2016-04-01,VHI.N,USD,5.084745763,14.88,,1307
2016-04-04,POWI.OQ,USD,-2.741644987,24.3,,177248
2016-04-04,VHI.N,USD,-5.64516129,14.04,,1328
2016-04-05,POWI.OQ,USD,0.082304527,24.32,,112732
2016-04-05,VHI.N,USD,-1.709401709,13.8,,687
2016-04-06,POWI.OQ,USD,-0.513980263,24.195,,118542
2016-04-06,VHI.N,USD,1.739130435,14.04,,357
2016-04-07,POWI.OQ,USD,-2.624509196,23.56,,126950
2016-04-07,VHI.N,USD,-2.564102564,13.68,,1346
2016-04-08,POWI.OQ,USD,0.636672326,23.71,,126832
2016-04-08,VHI.N,USD,10.526315789,15.12,,3383
2016-04-11,POWI.OQ,USD,-0.653732602,23.555,,62350
2016-04-11,VHI.N,USD,3.968253968,15.72,,1737
2016-04-12,POWI.OQ,USD,-0.14858841,23.52,,95920
2016-04-12,VHI.N,USD,1.526717557,15.96,,322
2016-04-13,POWI.OQ,USD,3.401360544,24.32,,133814
2016-04-13,VHI.N,USD,15.037593985,18.36,,1604
2016-04-14,POWI.OQ,USD,-2.857730263,23.625,,96610
2016-04-14,VHI.N,USD,-1.307189542,18.12,,585
2016-04-15,POWI.OQ,USD,-2.412698413,23.055,,114994
2016-04-15,VHI.N,USD,7.947019868,19.56,,1104
2016-04-18,POWI.OQ,USD,1.778356105,23.465,,78534
2016-04-18,VHI.N,USD,3.680981595,20.28,,888
2016-04-19,POWI.OQ,USD,-3.345408055,22.68,,102810
2016-04-19,VHI.N,USD,18.934911243,24.12,,2306
2016-04-20,POWI.OQ,USD,0.551146384,22.805,,126232
2016-04-20,VHI.N,USD,1.492537313,24.48,,2384
2016-04-21,POWI.OQ,USD,-1.249725937,22.52,,105672
2016-04-21,VHI.N,USD,4.901960784,25.68,,1698
2016-04-22,POWI.OQ,USD,2.952930728,23.185,,166160
2016-04-22,VHI.N,USD,-1.401869159,25.32,,1046
2016-04-25,POWI.OQ,USD,-0.884192366,22.98,,116326
2016-04-25,VHI.N,USD,-2.369668246,24.72,,844
2016-04-26,POWI.OQ,USD,1.718885988,23.375,,113044
2016-04-26,VHI.N,USD,5.339805825,26.04,,811
2016-04-27,POWI.OQ,USD,0.042780749,23.385,,93108
2016-04-27,VHI.N,USD,-5.069124424,24.72,,2641
2016-04-28,POWI.OQ,USD,-2.822322001,22.725,,124072
2016-04-28,VHI.N,USD,1.941747573,25.2,,1462
2016-04-29,POWI.OQ,USD,6.160616062,24.125,,342074
2016-04-29,VHI.N,USD,-6.19047619,23.64,,1201
2016-05-02,POWI.OQ,USD,-0.352331606,24.04,,132162
2016-05-02,VHI.N,USD,1.015228426,23.88,,955
2016-05-03,POWI.OQ,USD,-1.247920133,23.74,,110196
2016-05-03,VHI.N,USD,-2.512562814,23.28,,1307
2016-05-04,POWI.OQ,USD,-1.411120472,23.405,,92838
2016-05-04,VHI.N,USD,0.0,23.28,,768
2016-05-05,POWI.OQ,USD,-1.922666097,22.955,,134592
2016-05-05,VHI.N,USD,-5.154639175,22.08,,1124
2016-05-06,POWI.OQ,USD,-0.087126988,22.935,,211274
2016-05-06,VHI.N,USD,-1.630434783,21.72,,571
2016-05-09,POWI.OQ,USD,1.286243732,23.23,,100936
2016-05-09,VHI.N,USD,-3.867403315,20.88,,1280
2016-05-10,POWI.OQ,USD,1.194575979,23.5075,,97704
2016-05-10,VHI.N,USD,2.298850575,21.36,,697
2016-05-11,POWI.OQ,USD,-0.414761246,23.41,,90474
2016-05-11,VHI.N,USD,8.988764045,23.28,,1146
2016-05-12,POWI.OQ,USD,-2.541648868,22.815,,82440
2016-05-12,VHI.N,USD,-6.18556701,21.84,,672
2016-05-13,POWI.OQ,USD,1.884724962,23.245,,109452
2016-05-13,VHI.N,USD,3.296703297,22.56,,910
2016-05-16,POWI.OQ,USD,0.838890084,23.44,,97720
2016-05-16,VHI.N,USD,1.595744681,22.92,,1055
2016-05-17,POWI.OQ,USD,-2.04778157,22.96,,107224
2016-05-17,VHI.N,USD,-2.617801047,22.32,,1390
2016-05-18,POWI.OQ,USD,2.199477352,23.465,,62702
2016-05-18,VHI.N,USD,-3.225806452,21.6,,240
2016-05-19,POWI.OQ,USD,-1.491583209,23.115,,61736
2016-05-19,VHI.N,USD,7.222222222,23.16,,996
2016-05-20,POWI.OQ,USD,3.828682674,24.0,,101098
2016-05-20,VHI.N,USD,0.518134715,23.28,,708
2016-05-23,POWI.OQ,USD,0.604166667,24.145,,117198
2016-05-23,VHI.N,USD,5.670103093,24.6,,1347
2016-05-24,POWI.OQ,USD,3.37544005,24.96,,178054
2016-05-24,VHI.N,USD,17.073170732,28.8,,7614
2016-05-25,POWI.OQ,USD,-1.221955128,24.655,,69390
2016-05-25,VHI.N,USD,-0.833333333,28.56,,1148
2016-05-26,POWI.OQ,USD,0.162238897,24.63,,79240
2016-05-26,VHI.N,USD,-14.285714286,24.48,,1425
